City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
476,urucara,-2.5364,-57.76,307.81,47,92,1.66,BR,1702221612
477,bulawayo,-20.15,28.5833,296.71,58,90,0.34,ZW,1702221613
478,fort st. john,56.2499,-120.8529,274.09,75,75,6.17,CA,1702221402
479,aberdeen,57.1437,-2.0981,280.42,94,75,6.17,GB,1702221614
480,kabala,9.5833,-11.55,306.23,14,100,2.9,SL,1702221614
481,yemva,62.59,50.8594,247.76,99,69,1.95,RU,1702221615
482,rawlins,41.7911,-107.2387,268.09,50,75,8.75,US,1702221617
483,santa terezinha,-29.9002,-50.0904,295.04,81,100,7.95,BR,1702221618
484,coxen hole,16.3244,-86.5366,301.75,84,20,4.12,HN,1702221368
485,sittwe,20.15,92.9,295.8,72,2,5.4,MM,1702221461
486,caromatan,7.7959,123.7145,298.31,91,97,2.21,PH,1702221621
487,tutoia,-2.7619,-42.2744,303.69,61,76,7.27,BR,1702221621
488,benjamin hill,30.1667,-111.1,282.7,18,0,3.2,MX,1702221622
489,mili,6.0815,171.735,300.75,83,87,7.75,MH,1702221622
490,port moresby,-9.4431,147.1797,297.83,88,20,1.54,PG,1702221623
491,diego de almagro,-26.3667,-70.05,299.22,26,0,3.89,CL,1702221623
492,nuevo casas grandes,30.4167,-107.9167,274.96,28,0,1.6,MX,1702221554
493,guiratinga,-16.3494,-53.7583,312.62,25,29,1.64,BR,1702221625
494,laishevo,55.4046,49.5504,250.27,93,92,3.93,RU,1702221625
495,san martin,-33.081,-68.4681,301.45,33,4,6.87,AR,1702221625
496,ko pha ngan,9.7578,100.0291,298.53,74,81,2.78,TH,1702221626
497,goulburn,-34.75,149.7167,291.36,90,97,0.45,AU,1702221627
498,ovalle,-30.5983,-71.2003,297.47,45,0,4.23,CL,1702221627
499,santiago,-33.4569,-70.6483,305.84,17,0,2.57,CL,1702221464
500,jianshui,23.6363,102.8264,287.47,86,0,1.96,CN,1702221628
501,gamay,12.3854,125.2979,299.09,86,73,3.06,PH,1702221630
502,maindargi,17.4667,76.3,297.09,46,5,3.75,IN,1702221630
503,trincomalee,8.5711,81.2335,300.51,79,66,4.57,LK,1702221631
504,sakaiminato,35.55,133.2333,288.14,82,75,8.75,JP,1702221631
505,mount airy,36.4993,-80.6073,287.0,85,100,2.57,US,1702221632
506,kutum,14.2,24.6667,301.27,13,6,4.26,SD,1702221632
507,faya-largeau,17.9257,19.1043,301.76,12,98,2.88,TD,1702221632
508,letlhakane,-21.4167,25.5833,299.52,50,77,5.23,BW,1702221633
509,the pas,53.8251,-101.2541,262.16,92,100,1.03,CA,1702221635
510,vernon,50.2581,-119.2691,274.12,89,100,3.09,CA,1702221411
